Metadata,,,,Phage,,
24,1,3,2,13,1.00E+02,2.60E+05
24,1,3,3,10,1.00E+01,2.00E+04
24,1,3,4,26,1.00E+01,5.20E+04
24,1,3,5,18,1.00E+01,3.60E+04
24,1,3,6,16,1.00E+01,3.20E+04
24,1,3,7,12,1.00E+01,2.40E+04
24,1,3,8,24,1.00E+01,4.80E+04
24,1,3,9,24,1.00E+01,4.80E+04
24,1,3,10,15,1.00E+01,3.00E+04
24,1,3,11,22,1.00E+01,4.40E+04
24,1,3,12,4,1.00E+01,8.00E+03
24,1,3,13,7,1.00E+01,1.40E+04
24,1,3,14,3,1.00E+02,6.00E+04
24,1,3,15,19,1.00E+01,3.80E+04
24,1,3,16,40,1.00E+01,8.00E+04
24,1,3,17,32,1.00E+01,6.40E+04
24,1,3,18,25,1.00E+01,5.00E+04
24,1,3,19,8,1.00E+01,1.60E+04
24,1,3,20,24,1.00E+01,4.80E+04
24,1,3,21,7,1.00E+01,1.40E+04
24,1,3,22,32,1.00E+01,6.40E+04
24,1,3,23,25,1.00E+01,5.00E+04
24,1,3,24,36,1.00E+01,7.20E+04
24,1,4,1,25,1.00E+01,5.00E+04
24,1,4,2,15,1.00E+01,3.00E+04
24,1,4,3,6,1.00E+01,1.20E+04
24,1,4,4,12,1.00E+01,2.40E+04
24,1,4,5,4,1.00E+01,8.00E+03
24,1,4,6,11,1.00E+01,2.20E+04
24,1,4,7,8,1.00E+01,1.60E+04
24,1,4,8,3,1.00E+01,6.00E+03
24,1,4,9,8,1.00E+01,1.60E+04
24,1,4,10,8,1.00E+01,1.60E+04
24,1,4,11,10,1.00E+01,2.00E+04
24,1,4,12,3,1.00E+01,6.00E+03
24,1,4,13,5,1.00E+01,1.00E+04
24,1,4,14,8,1.00E+01,1.60E+04
24,1,4,15,2,1.00E+01,4.00E+03
24,1,4,16,7,1.00E+01,1.40E+04
24,1,4,17,16,1.00E+01,3.20E+04
24,1,4,18,6,1.00E+01,1.20E+04
24,1,4,19,7,1.00E+01,1.40E+04
24,1,4,20,19,1.00E+01,3.80E+04
24,1,4,21,1,1.00E+01,2.00E+03
24,1,4,22,9,1.00E+02,1.80E+05
24,1,4,23,10,1.00E+01,2.00E+04
24,1,4,24,8,1.00E+01,1.60E+04
24,1,5,1,16,1.00E+02,3.20E+05
24,1,5,2,44,1.00E+01,8.80E+04
24,1,5,3,9,1.00E+01,1.80E+04
24,1,5,4,3,1.00E+02,6.00E+04
24,1,5,5,35,1.00E+01,7.00E+04
24,1,5,6,6,1.00E+02,1.20E+05
24,1,5,7,6,1.00E+02,1.20E+05
24,1,5,8,20,1.00E+01,4.00E+04
24,1,5,9,4,1.00E+02,8.00E+04
24,1,5,10,27,1.00E+01,5.40E+04
24,1,5,11,7,1.00E+02,1.40E+05
24,1,5,12,8,1.00E+01,1.60E+04
24,1,5,13,22,1.00E+01,4.40E+04
24,1,5,14,4,1.00E+02,8.00E+04
24,1,5,15,24,1.00E+01,4.80E+04
24,1,5,16,4,1.00E+02,8.00E+04
24,1,5,17,47,1.00E+01,9.40E+04
24,1,5,18,1,1.00E+02,2.00E+04
24,1,5,19,12,1.00E+01,2.40E+04
24,1,5,20,40,1.00E+01,8.00E+04
24,1,5,21,10,1.00E+01,2.00E+04
24,1,5,22,12,1.00E+01,2.40E+04
24,1,5,23,42,1.00E+01,8.40E+04
24,1,5,24,3,1.00E+02,6.00E+04
24,1,6,1,3,1.00E+02,6.00E+04
24,1,6,2,25,1.00E+01,5.00E+04
24,1,6,3,5,1.00E+01,1.00E+04
24,1,6,4,27,1.00E+01,5.40E+04
24,1,6,5,12,1.00E+01,2.40E+04
24,1,6,6,13,1.00E+01,2.60E+04
24,1,6,7,14,1.00E+01,2.80E+04
24,1,6,8,19,1.00E+01,3.80E+04
24,1,6,9,20,1.00E+01,4.00E+04
24,1,6,10,16,1.00E+01,3.20E+04
24,1,6,11,24,1.00E+01,4.80E+04
24,1,6,12,4,1.00E+01,8.00E+03
24,1,6,13,2,1.00E+01,4.00E+03
24,1,6,14,23,1.00E+01,4.60E+04
24,1,6,15,14,1.00E+01,2.80E+04
24,1,6,16,36,1.00E+01,7.20E+04
24,1,6,17,23,1.00E+01,4.60E+04
24,1,6,18,29,1.00E+01,5.80E+04
24,1,6,19,6,1.00E+01,1.20E+04
24,1,6,20,20,1.00E+01,4.00E+04
24,1,6,21,3,1.00E+01,6.00E+03
24,1,6,22,26,1.00E+01,5.20E+04
24,1,6,23,22,1.00E+01,4.40E+04
24,1,6,24,30,1.00E+01,6.00E+04
24,1,7,1,41,1.00E+01,8.20E+04
24,1,7,2,20,1.00E+01,4.00E+04
24,1,7,3,6,1.00E+01,1.20E+04
24,1,7,4,21,1.00E+01,4.20E+04
24,1,7,5,19,1.00E+01,3.80E+04
24,1,7,6,11,1.00E+01,2.20E+04
24,1,7,7,13,1.00E+01,2.60E+04
24,1,7,8,8,1.00E+01,1.60E+04
24,1,7,9,20,1.00E+01,4.00E+04
24,1,7,10,17,1.00E+01,3.40E+04
24,1,7,11,25,1.00E+01,5.00E+04
24,1,7,12,7,1.00E+01,1.40E+04
24,1,7,13,4,1.00E+01,8.00E+03
24,1,7,14,20,1.00E+01,4.00E+04
24,1,7,15,10,1.00E+01,2.00E+04
24,1,7,16,24,1.00E+01,4.80E+04
24,1,7,17,28,1.00E+01,5.60E+04
24,1,7,18,24,1.00E+01,4.80E+04
24,1,7,19,3,1.00E+01,6.00E+03
24,1,7,20,21,1.00E+01,4.20E+04
24,1,7,21,3,1.00E+01,6.00E+03
24,1,7,22,30,1.00E+01,6.00E+04
24,1,7,23,22,1.00E+01,4.40E+04
24,1,7,24,26,1.00E+01,5.20E+04
24,1,8,1,4,1.00E+02,8.00E+04
24,1,8,2,29,1.00E+01,5.80E+04
24,1,8,3,7,1.00E+01,1.40E+04
24,1,8,4,1,1.00E+01,2.00E+03
24,1,8,5,11,1.00E+01,2.20E+04
24,1,8,6,9,1.00E+01,1.80E+04
24,1,8,7,15,1.00E+01,3.00E+04
24,1,8,8,20,1.00E+01,4.00E+04
24,1,8,9,30,1.00E+01,6.00E+04
24,1,8,10,20,1.00E+01,4.00E+04
24,1,8,11,27,1.00E+01,5.40E+04
24,1,8,12,7,1.00E+01,1.40E+04
24,1,8,13,5,1.00E+01,1.00E+04
24,1,8,14,26,1.00E+01,5.20E+04
24,1,8,15,12,1.00E+01,2.40E+04
24,1,8,16,38,1.00E+01,7.60E+04
24,1,8,17,28,1.00E+01,5.60E+04
24,1,8,18,30,1.00E+01,6.00E+04
24,1,8,19,11,1.00E+01,2.20E+04
24,1,8,20,25,1.00E+01,5.00E+04
24,1,8,21,7,1.00E+01,1.40E+04
24,1,8,22,27,1.00E+01,5.40E+04
24,1,8,23,25,1.00E+01,5.00E+04
24,1,8,24,39,1.00E+01,7.80E+04
24,2,1,1,6,1.00E+00,1.20E+03
24,2,1,2,4,1.00E+00,8.00E+02
24,2,1,3,1,1.00E+00,2.00E+02
24,2,1,4,7,1.00E+00,1.40E+03
24,2,1,5,1,1.00E+00,2.00E+02
24,2,1,6,1,1.00E+00,2.00E+02
24,2,1,7,1,1.00E+00,2.00E+02
24,2,1,8,0,1.00E+00,0.00E+00
24,2,1,9,2,1.00E+00,4.00E+02
24,2,1,10,2,1.00E+00,4.00E+02
24,2,1,11,4,1.00E+00,8.00E+02
24,2,1,12,0,1.00E+00,0.00E+00
24,2,1,13,0,1.00E+00,0.00E+00
24,2,1,14,0,1.00E+00,0.00E+00
24,2,1,15,0,1.00E+00,0.00E+00
24,2,1,16,0,1.00E+00,0.00E+00
24,2,1,17,1,1.00E+01,2.00E+03
24,2,1,18,0,1.00E+00,0.00E+00
24,2,1,19,0,1.00E+00,0.00E+00
24,2,1,20,1,1.00E+01,2.00E+03
24,2,1,21,1,1.00E+01,2.00E+03
24,2,1,22,0,1.00E+00,0.00E+00
24,2,1,23,0,1.00E+00,0.00E+00
24,2,1,24,0,1.00E+00,0.00E+00
24,2,2,1,9,1.00E+00,1.80E+03
24,2,2,2,1,1.00E+00,2.00E+02
24,2,2,3,0,1.00E+00,0.00E+00
24,2,2,4,3,1.00E+00,6.00E+02
24,2,2,5,1,1.00E+00,2.00E+02
24,2,2,6,1,1.00E+00,2.00E+02
24,2,2,7,1,1.00E+00,2.00E+02
24,2,2,8,0,1.00E+00,0.00E+00
24,2,2,9,1,1.00E+00,2.00E+02
24,2,2,10,1,1.00E+00,2.00E+02
24,2,2,11,1,1.00E+00,2.00E+02
24,2,2,12,0,1.00E+00,0.00E+00
24,2,2,13,0,1.00E+00,0.00E+00
24,2,2,14,0,1.00E+00,0.00E+00
24,2,2,15,0,1.00E+00,0.00E+00
24,2,2,16,1,1.00E+01,2.00E+03
24,2,2,17,0,1.00E+00,0.00E+00
24,2,2,18,0,1.00E+00,0.00E+00
24,2,2,19,0,1.00E+00,0.00E+00
24,2,2,20,1,1.00E+01,2.00E+03
24,2,2,21,0,1.00E+00,0.00E+00
24,2,2,22,0,1.00E+00,0.00E+00
24,2,2,23,0,1.00E+00,0.00E+00
24,2,2,24,2,1.00E+01,4.00E+03
24,2,3,1,20,1.00E+00,4.00E+03
24,2,3,2,0,1.00E+00,0.00E+00
24,2,3,3,0,1.00E+00,0.00E+00
24,2,3,4,6,1.00E+00,1.20E+03
24,2,3,5,1,1.00E+00,2.00E+02
24,2,3,6,0,1.00E+00,0.00E+00
24,2,3,7,1,1.00E+00,2.00E+02
24,2,3,8,0,1.00E+00,0.00E+00
24,2,3,9,0,1.00E+00,0.00E+00
24,2,3,10,0,1.00E+00,0.00E+00
24,2,3,11,3,1.00E+00,6.00E+02
24,2,3,12,0,1.00E+00,0.00E+00
24,2,3,13,0,1.00E+00,0.00E+00
24,2,3,14,0,1.00E+00,0.00E+00
24,2,3,15,0,1.00E+00,0.00E+00
24,2,3,16,0,1.00E+00,0.00E+00
24,2,3,17,2,1.00E+01,4.00E+03
24,2,3,18,1,1.00E+01,2.00E+03
24,2,3,19,0,1.00E+00,0.00E+00
24,2,3,20,1,1.00E+01,2.00E+03
24,2,3,21,0,1.00E+00,0.00E+00
24,2,3,22,0,1.00E+00,0.00E+00
24,2,3,23,1,1.00E+01,2.00E+03
24,2,3,24,0,1.00E+00,0.00E+00
24,2,4,1,2,1.00E+00,4.00E+02
24,2,4,2,2,1.00E+00,4.00E+02
24,2,4,3,0,1.00E+00,0.00E+00
24,2,4,4,0,1.00E+00,0.00E+00
24,2,4,5,1,1.00E+00,2.00E+02
24,2,4,6,0,1.00E+00,0.00E+00
24,2,4,7,0,1.00E+00,0.00E+00
24,2,4,8,1,1.00E+01,2.00E+03
24,2,4,9,0,1.00E+00,0.00E+00
24,2,4,10,2,1.00E+01,4.00E+03
24,2,4,11,0,1.00E+00,0.00E+00
24,2,4,12,2,1.00E+00,4.00E+02
24,2,4,13,0,1.00E+00,0.00E+00
24,2,4,14,0,1.00E+00,0.00E+00
24,2,4,15,0,1.00E+00,0.00E+00
24,2,4,16,0,1.00E+00,0.00E+00
24,2,4,17,0,1.00E+00,0.00E+00
24,2,4,18,0,1.00E+00,0.00E+00
24,2,4,19,0,1.00E+00,0.00E+00
24,2,4,20,0,1.00E+00,0.00E+00
24,2,4,21,0,1.00E+00,0.00E+00
24,2,4,22,0,1.00E+00,0.00E+00
24,2,4,23,0,1.00E+00,0.00E+00
24,2,4,24,0,1.00E+00,0.00E+00
24,2,5,1,11,1.00E+01,2.20E+04
24,2,5,2,4,1.00E+00,8.00E+02
24,2,5,3,3,1.00E+00,6.00E+02
24,2,5,4,14,1.00E+00,2.80E+03
24,2,5,5,10,1.00E+01,2.00E+04
24,2,5,6,14,1.00E+01,2.80E+04
24,2,5,7,13,1.00E+00,2.60E+03
24,2,5,8,2,1.00E+01,4.00E+03
24,2,5,9,17,1.00E+00,3.40E+03
24,2,5,10,3,1.00E+01,6.00E+03
24,2,5,11,10,1.00E+00,2.00E+03
24,2,5,12,0,1.00E+00,0.00E+00
24,2,5,13,0,1.00E+00,0.00E+00
24,2,5,14,0,1.00E+00,0.00E+00
24,2,5,15,0,1.00E+00,0.00E+00
24,2,5,16,2,1.00E+01,4.00E+03
24,2,5,17,1,1.00E+01,2.00E+03
24,2,5,18,2,1.00E+01,4.00E+03
24,2,5,19,0,1.00E+00,0.00E+00
24,2,5,20,0,1.00E+00,0.00E+00
24,2,5,21,0,1.00E+00,0.00E+00
24,2,5,22,1,1.00E+01,2.00E+03
24,2,5,23,0,1.00E+00,0.00E+00
24,2,5,24,1,1.00E+01,2.00E+03
24,2,6,1,10,1.00E+00,2.00E+03
24,2,6,2,2,1.00E+01,4.00E+03
24,2,6,3,0,1.00E+00,0.00E+00
24,2,6,4,6,1.00E+00,1.20E+03
24,2,6,5,0,1.00E+00,0.00E+00
24,2,6,6,1,1.00E+00,2.00E+02
24,2,6,7,0,1.00E+00,0.00E+00
24,2,6,8,1,1.00E+01,2.00E+03
24,2,6,9,3,1.00E+00,6.00E+02
24,2,6,10,1,1.00E+01,2.00E+03
24,2,6,11,2,1.00E+00,4.00E+02
24,2,6,12,0,1.00E+00,0.00E+00
24,2,6,13,0,1.00E+00,0.00E+00
24,2,6,14,0,1.00E+00,0.00E+00
24,2,6,15,0,1.00E+00,0.00E+00
24,2,6,16,1,1.00E+01,2.00E+03
24,2,6,17,0,1.00E+00,0.00E+00
24,2,6,18,1,1.00E+01,2.00E+03
24,2,6,19,0,1.00E+00,0.00E+00
24,2,6,20,0,1.00E+00,0.00E+00
24,2,6,21,0,1.00E+00,0.00E+00
24,2,6,22,2,1.00E+01,4.00E+03
24,2,6,23,2,1.00E+01,4.00E+03
24,2,6,24,2,1.00E+01,4.00E+03
24,2,7,1,5,1.00E+00,1.00E+03
24,2,7,2,1,1.00E+00,2.00E+02
24,2,7,3,0,1.00E+00,0.00E+00
24,2,7,4,4,1.00E+00,8.00E+02
24,2,7,5,1,1.00E+00,2.00E+02
24,2,7,6,0,1.00E+00,0.00E+00
24,2,7,7,0,1.00E+00,0.00E+00
24,2,7,8,0,1.00E+00,0.00E+00
24,2,7,9,0,1.00E+00,0.00E+00
24,2,7,10,4,1.00E+01,8.00E+03
24,2,7,11,2,1.00E+01,4.00E+03
24,2,7,12,0,1.00E+00,0.00E+00
24,2,7,13,0,1.00E+00,0.00E+00
24,2,7,14,0,1.00E+00,0.00E+00
24,2,7,15,0,1.00E+00,0.00E+00
24,2,7,16,2,1.00E+01,4.00E+03
24,2,7,17,1,1.00E+01,2.00E+03
24,2,7,18,0,1.00E+00,0.00E+00
24,2,7,19,0,1.00E+00,0.00E+00
24,2,7,20,4,1.00E+01,8.00E+03
24,2,7,21,0,1.00E+00,0.00E+00
24,2,7,22,0,0.00E+00,0.00E+00
24,2,7,23,3,1.00E+01,6.00E+03
24,2,7,24,2,1.00E+00,4.00E+02
24,2,8,1,10,1.00E+00,2.00E+03
24,2,8,2,2,1.00E+00,4.00E+02
24,2,8,3,1,1.00E+00,2.00E+02
24,2,8,4,4,1.00E+00,8.00E+02
24,2,8,5,1,1.00E+00,2.00E+02
24,2,8,6,2,1.00E+00,4.00E+02
24,2,8,7,1,1.00E+01,2.00E+03
24,2,8,8,3,1.00E+00,6.00E+02
24,2,8,9,0,1.00E+00,0.00E+00
24,2,8,10,1,1.00E+01,2.00E+03
24,2,8,11,2,1.00E+01,4.00E+03
24,2,8,12,0,1.00E+00,0.00E+00
24,2,8,13,0,1.00E+00,0.00E+00
24,2,8,14,0,1.00E+00,0.00E+00
24,2,8,15,0,1.00E+00,0.00E+00
24,2,8,16,1,1.00E+01,2.00E+03
24,2,8,17,0,1.00E+00,0.00E+00
24,2,8,18,0,1.00E+00,0.00E+00
24,2,8,19,0,1.00E+00,0.00E+00
24,2,8,20,0,1.00E+00,0.00E+00
24,2,8,21,0,1.00E+00,0.00E+00
24,2,8,22,1,1.00E+01,2.00E+03
24,2,8,23,1,1.00E+01,2.00E+03
24,2,8,24,7,1.00E+00,1.40E+03
24,3,1,1,0,1.00E+00,0.00E+00
24,3,1,2,0,1.00E+00,0.00E+00
24,3,1,3,0,1.00E+00,0.00E+00
24,3,1,4,0,1.00E+00,0.00E+00
24,3,1,5,0,1.00E+00,0.00E+00
24,3,1,6,0,1.00E+00,0.00E+00
24,3,1,7,0,1.00E+00,0.00E+00
12,3,8,24,1,1,2.00E+02
24,3,1,9,0,1.00E+00,0.00E+00
24,3,1,10,0,1.00E+00,0.00E+00
24,3,1,11,0,1.00E+00,0.00E+00
24,3,1,12,0,1.00E+00,0.00E+00
24,3,1,13,0,1.00E+00,0.00E+00
24,3,1,14,0,1.00E+00,0.00E+00
24,3,1,15,0,1.00E+00,0.00E+00
24,3,1,16,0,1.00E+00,0.00E+00
24,3,1,17,0,1.00E+00,0.00E+00
24,3,1,18,0,1.00E+00,0.00E+00
24,3,1,19,0,1.00E+00,0.00E+00
24,3,1,20,0,1.00E+00,0.00E+00
24,3,1,21,0,1.00E+00,0.00E+00
24,3,1,22,0,1.00E+00,0.00E+00
24,3,1,23,0,1.00E+00,0.00E+00
24,3,1,24,0,1.00E+00,0.00E+00
24,3,2,1,0,1.00E+00,0.00E+00
24,3,2,2,0,1.00E+00,0.00E+00
24,3,2,3,0,1.00E+00,0.00E+00
24,3,2,4,0,1.00E+00,0.00E+00
24,3,2,5,0,1.00E+00,0.00E+00
24,3,2,6,0,1.00E+00,0.00E+00
24,3,2,7,0,1.00E+00,0.00E+00
24,3,2,8,0,1.00E+00,0.00E+00
24,3,2,9,0,1.00E+00,0.00E+00
24,3,2,10,0,1.00E+00,0.00E+00
24,3,2,11,0,1.00E+00,0.00E+00
24,3,2,12,0,1.00E+00,0.00E+00
24,3,2,13,0,1.00E+00,0.00E+00
24,3,2,14,0,1.00E+00,0.00E+00
24,3,2,15,0,1.00E+00,0.00E+00
24,3,2,16,0,1.00E+00,0.00E+00
24,3,2,17,0,1.00E+00,0.00E+00
24,3,2,18,0,1.00E+00,0.00E+00
24,3,2,19,0,1.00E+00,0.00E+00
24,3,2,20,0,1.00E+00,0.00E+00
24,3,2,21,0,1.00E+00,0.00E+00
24,3,2,22,0,1.00E+00,0.00E+00
24,3,2,23,0,1.00E+00,0.00E+00
24,3,2,24,0,1.00E+00,0.00E+00
24,3,3,1,0,1.00E+00,0.00E+00
24,3,3,2,0,1.00E+00,0.00E+00
24,3,3,3,0,1.00E+00,0.00E+00
24,3,3,4,0,1.00E+00,0.00E+00
24,3,3,5,0,1.00E+00,0.00E+00
24,3,3,6,0,1.00E+00,0.00E+00
24,3,3,7,0,1.00E+00,0.00E+00
24,3,3,8,0,1.00E+00,0.00E+00
24,3,3,9,0,1.00E+00,0.00E+00
24,3,3,10,0,1.00E+00,0.00E+00
24,3,3,11,0,1.00E+00,0.00E+00
24,3,3,12,0,1.00E+00,0.00E+00
24,3,3,13,0,1.00E+00,0.00E+00
24,3,3,14,0,1.00E+00,0.00E+00
24,3,3,15,0,1.00E+00,0.00E+00
24,3,3,16,0,1.00E+00,0.00E+00
24,3,3,17,0,1.00E+00,0.00E+00
24,3,3,18,0,1.00E+00,0.00E+00
24,3,3,19,0,1.00E+00,0.00E+00
24,3,3,20,0,1.00E+00,0.00E+00
24,3,3,21,0,1.00E+00,0.00E+00
24,3,3,22,0,1.00E+00,0.00E+00
24,3,3,23,0,1.00E+00,0.00E+00
24,3,3,24,0,1.00E+00,0.00E+00
24,3,4,1,0,1.00E+00,0.00E+00
24,3,4,2,0,1.00E+00,0.00E+00
24,3,4,3,0,1.00E+00,0.00E+00
24,3,4,4,0,1.00E+00,0.00E+00
24,3,4,5,0,1.00E+00,0.00E+00
24,3,4,6,0,1.00E+00,0.00E+00
24,3,4,7,0,1.00E+00,0.00E+00
24,3,4,8,0,1.00E+00,0.00E+00
24,3,4,9,0,1.00E+00,0.00E+00
24,3,4,10,0,1.00E+00,0.00E+00
24,3,4,11,0,1.00E+00,0.00E+00
24,3,4,12,0,1.00E+00,0.00E+00
24,3,4,13,0,1.00E+00,0.00E+00
24,3,4,14,0,1.00E+00,0.00E+00
24,3,4,15,0,1.00E+00,0.00E+00
24,3,4,16,0,1.00E+00,0.00E+00
24,3,4,17,0,1.00E+00,0.00E+00
24,3,4,18,0,1.00E+00,0.00E+00
24,3,4,19,0,1.00E+00,0.00E+00
24,3,4,20,0,1.00E+00,0.00E+00
24,3,4,21,0,1.00E+00,0.00E+00
24,3,4,22,0,1.00E+00,0.00E+00
24,3,4,23,0,1.00E+00,0.00E+00
24,3,4,24,0,1.00E+00,0.00E+00
24,3,5,1,0,1.00E+00,0.00E+00
24,3,5,2,0,1.00E+00,0.00E+00
24,3,5,3,0,1.00E+00,0.00E+00
24,3,5,4,0,1.00E+00,0.00E+00
24,3,5,5,0,1.00E+00,0.00E+00
24,3,5,6,0,1.00E+00,0.00E+00
24,3,5,7,0,1.00E+00,0.00E+00
24,3,5,8,0,1.00E+00,0.00E+00
24,3,5,9,0,1.00E+00,0.00E+00
24,3,5,10,0,1.00E+00,0.00E+00
24,3,5,11,0,1.00E+00,0.00E+00
24,3,5,12,0,1.00E+00,0.00E+00
24,3,5,13,0,1.00E+00,0.00E+00
24,3,5,14,0,1.00E+00,0.00E+00
24,3,5,15,0,1.00E+00,0.00E+00
24,3,5,16,0,1.00E+00,0.00E+00
24,3,5,17,0,1.00E+00,0.00E+00
24,3,5,18,0,1.00E+00,0.00E+00
24,3,5,19,0,1.00E+00,0.00E+00
24,3,5,20,0,1.00E+00,0.00E+00
24,3,5,21,0,1.00E+00,0.00E+00
24,3,5,22,0,1.00E+00,0.00E+00
24,3,5,23,0,1.00E+00,0.00E+00
24,3,5,24,0,1.00E+00,0.00E+00
24,3,6,1,0,1.00E+00,0.00E+00
24,3,6,2,0,1.00E+00,0.00E+00
24,3,6,3,0,1.00E+00,0.00E+00
24,3,6,4,0,1.00E+00,0.00E+00
24,3,6,5,0,1.00E+00,0.00E+00
24,3,6,6,0,1.00E+00,0.00E+00
24,3,6,7,0,1.00E+00,0.00E+00
24,3,6,8,0,1.00E+00,0.00E+00
24,3,6,9,0,1.00E+00,0.00E+00
24,3,6,10,0,1.00E+00,0.00E+00
24,3,6,11,0,1.00E+00,0.00E+00
24,3,6,12,0,1.00E+00,0.00E+00
24,3,6,13,0,1.00E+00,0.00E+00
24,3,6,14,0,1.00E+00,0.00E+00
24,3,6,15,0,1.00E+00,0.00E+00
24,3,6,16,0,1.00E+00,0.00E+00
24,3,6,17,0,1.00E+00,0.00E+00
24,3,6,18,0,1.00E+00,0.00E+00
24,3,6,19,0,1.00E+00,0.00E+00
24,3,6,20,0,1.00E+00,0.00E+00
24,3,6,21,0,1.00E+00,0.00E+00
24,3,6,22,0,1.00E+00,0.00E+00
24,3,6,23,0,1.00E+00,0.00E+00
24,3,6,24,0,1.00E+00,0.00E+00
24,3,7,1,0,1.00E+00,0.00E+00
24,3,7,2,0,1.00E+00,0.00E+00
24,3,7,3,0,1.00E+00,0.00E+00
24,3,7,4,0,1.00E+00,0.00E+00
24,3,7,5,0,1.00E+00,0.00E+00
24,3,7,6,0,1.00E+00,0.00E+00
24,3,7,7,0,1.00E+00,0.00E+00
24,3,7,8,0,1.00E+00,0.00E+00
24,3,7,9,0,1.00E+00,0.00E+00
24,3,7,10,0,1.00E+00,0.00E+00
24,3,7,11,0,1.00E+00,0.00E+00
24,3,7,12,0,1.00E+00,0.00E+00
24,3,7,13,0,1.00E+00,0.00E+00
24,3,7,14,0,1.00E+00,0.00E+00
24,3,7,15,0,1.00E+00,0.00E+00
24,3,7,16,0,1.00E+00,0.00E+00
24,3,7,17,0,1.00E+00,0.00E+00
24,3,7,18,0,1.00E+00,0.00E+00
24,3,7,19,0,1.00E+00,0.00E+00
24,3,7,20,0,1.00E+00,0.00E+00
24,3,7,21,0,1.00E+00,0.00E+00
24,3,7,22,0,1.00E+00,0.00E+00
24,3,7,23,0,1.00E+00,0.00E+00
24,3,7,24,0,1.00E+00,0.00E+00
24,3,8,1,0,1.00E+00,0.00E+00
24,3,1,8,,1.00E+00,0.00E+00
24,3,8,3,0,1.00E+00,0.00E+00
24,3,8,4,0,1.00E+00,0.00E+00
24,3,8,5,0,1.00E+00,0.00E+00
24,3,8,6,0,1.00E+00,0.00E+00
24,3,8,7,0,1.00E+00,0.00E+00
24,3,8,8,0,1.00E+00,0.00E+00
24,3,8,9,0,1.00E+00,0.00E+00
24,3,8,10,0,1.00E+00,0.00E+00
24,3,8,11,0,1.00E+00,0.00E+00
24,3,8,12,0,1.00E+00,0.00E+00
24,3,8,13,0,1.00E+00,0.00E+00
24,3,8,14,0,1.00E+00,0.00E+00
24,3,8,15,0,1.00E+00,0.00E+00
24,3,8,16,0,1.00E+00,0.00E+00
24,3,8,17,0,1.00E+00,0.00E+00
24,3,8,18,0,1.00E+00,0.00E+00
24,3,8,19,0,1.00E+00,0.00E+00
24,3,8,20,0,1.00E+00,0.00E+00
24,3,8,21,0,1.00E+00,0.00E+00
24,3,8,22,0,1.00E+00,0.00E+00
24,3,8,23,0,1.00E+00,0.00E+00
24,3,8,24,0,1.00E+00,0.00E+00