Metadata,,,,,,,Phage,,,Bacteria counts,,,,Bacteria CFU,,,,ln(Malthusian parameters),,,Selection rate constants,
Treatment,Timepoint,Replicate,BIM_mix,Phage)mix,Escape_phage,Tracked_BIM,phage_count,phage_dilution,PFU,SM_count,CRISPR_count,BIM_count,dilution,SM_CFU,CRISPR_CFU,BIM_CFU,total_CFU,mSM,mCRISPR,mBIM,rCRISPR,rBIM
3,0,1,1-3,1-3,1,1,5,1.00E+03,1000000,6,12,8,1.00E+04,600000,1200000,800000,1800000,,,,0,0
3,0,2,4-6,4-6,4,4,11,1.00E+03,2200000,9,6,14,1.00E+04,900000,600000,1400000,1500000,,,,0,0
3,0,3,7-9,7-9,7,7,17,1.00E+02,340000,4,26,12,1.00E+04,400000,2600000,1200000,3000000,,,,0,0
3,0,4,10-13,10-13,10,10,6,1.00E+03,1200000,6,9,6,1.00E+04,600000,900000,600000,1500000,,,,0,0
3,0,5,14-16,14-16,13,13,5,1.00E+03,1000000,6,6,4,1.00E+04,600000,600000,400000,1200000,,,,0,0
3,0,6,17-19,17-19,16,19,7,1.00E+03,1400000,4,18,12,1.00E+04,400000,1800000,1200000,2200000,,,,0,0
3,0,7,19-21,19-21,19,19,4,1.00E+03,800000,4,17,5,1.00E+04,400000,1700000,500000,2100000,,,,0,0
3,0,8,22-24,22-24,22,22,7,1.00E+03,1400000,3,17,10,1.00E+04,300000,1700000,1000000,2000000,,,,0,0
3,1,1,1-3,1-3,1,1,20,1.00E+06,4000000000,206,53,23,1.00E+06,2.06E+09,530000000,230000000,2590000000,3.53571597,2.645094624,2.458637849,-0.890621346,-0.186456775
3,1,2,4-6,4-6,4,4,15,1.00E+06,3000000000,364,39,15,1.00E+06,3640000000,390000000,150000000,4030000000,3.606858874,2.812913357,2.029963223,-0.793945518,-0.782950133
3,1,3,7-9,7-9,7,7,15,1.00E+06,3000000000,105,41,29,1.00E+06,1050000000,410000000,290000000,1460000000,3.419129308,2.197810509,2.383216752,-1.221318799,0.185406243
3,1,4,10-13,10-13,10,10,16,1.00E+04,32000000,114,36,13,1.00E+06,1140000000,360000000,130000000,1500000000,3.278753601,2.602059991,2.335792102,-0.67669361,-0.266267889
3,1,5,14-16,14-16,13,13,20,1.00E+06,4000000000,87,14,15,1.00E+06,870000000,140000000,150000000,1010000000,3.161368002,2.367976785,2.574031268,-0.793391217,0.206054482
3,1,6,17-19,17-19,16,19,6,1.00E+07,12000000000,110,24,9,1.00E+06,1100000000,240000000,90000000,1340000000,3.439332694,2.124938737,1.875061263,-1.314393957,-0.249877473
3,1,7,19-21,19-21,19,19,7,1.00E+04,14000000,68,5,1,1.00E+06,680000000,50000000,10000000,730000000,3.230448921,1.468521083,1.301029996,-1.761927838,-0.167491087
3,1,8,22-24,22-24,22,22,20,1.00E+06,4000000000,95,24,7,1.00E+06,950000000,240000000,70000000,1190000000,3.500602351,2.14976232,1.84509804,-1.35084003,-0.30466428
3,2,1,1-3,1-3,1,1,16,1.00E+05,180000000,214,10,1,1.00E+06,2140000000,100000000,10000000,2240000000,0.016546553,-0.72427587,-1.361727836,-0.740822423,-0.637451966
3,2,2,4-6,4-6,4,4,7,1.00E+06,2000000000,184,8,1,1.00E+06,1840000000,80000000,10000000,1920000000,-0.296283561,-0.68797462,-1.176091259,-0.391691059,-0.488116639
3,2,3,7-9,7-9,7,7,7,1.00E+05,320000000,65,8,4,1.00E+06,650000000,80000000,40000000,730000000,-0.208275942,-0.70969387,-0.860338007,-0.501417927,-0.150644137
3,2,4,10-13,10-13,10,10,8,1.00E+04,16000000,84,6,1,1.00E+06,840000000,60000000,10000000,900000000,-0.132625565,-0.77815125,-1.113943352,-0.645525685,-0.335792102
3,2,5,14-16,14-16,13,13,10,1.00E+05,200000000,132,5,3,1.00E+06,1320000000,50000000,30000000,1370000000,0.181054679,-0.447158031,-0.698970004,-0.62821271,-0.251811973
3,2,6,17-19,17-19,16,19,18,1.00E+04,24000000,64,4,2,1.00E+06,640000000,40000000,20000000,680000000,-0.235212711,-0.77815125,-0.653212514,-0.542938539,0.124938737
3,2,7,19-21,19-21,19,19,13,1.00E+02,260000,72,1,2,1.00E+06,720000000,10000000,20000000,730000000,0.024823584,-0.698970004,0.301029996,-0.723793588,1
3,2,8,22-24,22-24,22,22,10,1.00E+05,200000000,66,4,1,1.00E+06,660000000,40000000,10000000,700000000,-0.15817967,-0.77815125,-0.84509804,-0.619971581,-0.06694679
3,3,1,1-3,1-3,1,1,25,1.00E+03,5000000,49,1,1,1.00E+06,490000000,10000000,10000000,500000000,-0.640217693,-1,0,-0.359782307,1
3,3,2,4-6,4-6,4,4,29,1.00E+04,58000000,34,0,0,1.00E+06,340000000,1,1,340000001,-0.733338906,-7.903089987,-7,-7.169751081,0.903089987
3,3,3,7-9,7-9,7,7,11,1.00E+03,2200000,38,3,5,1.00E+06,380000000,30000000,50000000,410000000,-0.23312976,-0.425968732,0.096910013,-0.192838972,0.522878745
3,3,4,10-13,10-13,10,10,26,1.00E+02,520000,66,2,1,1.00E+06,660000000,20000000,10000000,680000000,-0.104735351,-0.477121255,0,-0.372385904,0.477121255
3,3,5,14-16,14-16,13,13,28,1.00E+02,560000,54,3,1,1.00E+06,540000000,30000000,10000000,570000000,-0.388180171,-0.22184875,-0.477121255,0.166331422,-0.255272505
3,3,6,17-19,17-19,16,19,22,1.00E+02,440000,61,2,2,1.00E+06,610000000,20000000,20000000,630000000,-0.020850139,-0.301029996,0,-0.280179857,0.301029996
3,3,7,19-21,19-21,19,19,16,1.00E+00,3200,230,6,16,1.00E+06,2300000000,60000000,160000000,2360000000,0.50439534,0.77815125,0.903089987,0.273755911,0.124938737
3,3,8,22-24,22-24,22,22,11,1.00E+03,2200000,70,8,1,1.00E+06,700000000,80000000,10000000,780000000,0.025554104,0.301029996,0,0.275475891,-0.301029996
6,0,1,1-6,1-6,1,1,4,1.00E+03,800000,4,16,6,1.00E+04,400000,1600000,600000,2000000,,,,0,0
6,0,2,1-6,1-6,4,4,5,1.00E+03,1000000,5,14,8,1.00E+04,500000,1400000,800000,1900000,,,,0,0
6,0,3,7-12,7-12,7,7,5,1.00E+03,1000000,2,19,6,1.00E+04,200000,1900000,600000,2100000,,,,0,0
6,0,4,7-12,7-12,10,10,8,1.00E+03,1600000,3,13,5,1.00E+04,600000,2600000,1000000,3200000,,,,0,0
6,0,5,13-18,13-18,13,13,5,1.00E+03,1000000,4,11,2,1.00E+04,400000,1100000,200000,1500000,,,,0,0
6,0,6,13-18,13-18,16,19,6,1.00E+03,1200000,6,18,5,1.00E+04,600000,1800000,500000,2400000,,,,0,0
6,0,7,19-24,19-24,19,19,10,1.00E+03,2000000,6,18,7,1.00E+04,600000,1800000,700000,2400000,,,,0,0
6,0,8,19-24,19-24,22,22,4,1.00E+03,800000,29,23,5,1.00E+04,2900000,2300000,500000,5200000,,,,0,0
6,1,1,1-6,1-6,1,1,9,1.00E+06,1800000000,115,24,4,1.00E+06,1150000000,240000000,40000000,1390000000,3.458637849,2.176091259,1.823908741,-1.28254659,-0.352182518
6,1,2,1-6,1-6,4,4,10,1.00E+06,2000000000,90,19,14,1.00E+06,900000000,190000000,140000000,1090000000,3.255272505,2.132625565,2.243038049,-1.12264694,0.110412483
6,1,3,7-12,7-12,7,7,16,1.00E+04,32000000,74,25,12,1.00E+06,740000000,250000000,120000000,990000000,3.568201724,2.119186408,2.301029996,-1.449015316,0.181843588
6,1,4,7-12,7-12,10,10,8,1.00E+04,16000000,131,47,11,1.00E+06,1310000000,470000000,110000000,1780000000,3.339120045,2.25712451,2.041392685,-1.081995535,-0.215731825
6,1,5,13-18,13-18,13,13,10,1.00E+06,2000000000,166,112,48,1.00E+06,1660000000,1120000000,480000000,2780000000,3.618048097,3.007825338,3.380211242,-0.610222759,0.372385904
6,1,6,13-18,13-18,16,19,12,1.00E+04,24000000,104,82,30,1.00E+06,1040000000,820000000,300000000,1860000000,3.238882089,2.658541347,2.77815125,-0.580340742,0.119609903
6,1,7,19-24,19-24,19,19,5,1.00E+04,10000000,146,20,1,1.00E+06,1460000000,200000000,10000000,1660000000,3.386201605,2.045757491,1.15490196,-1.340444115,-0.890855531
6,1,8,19-24,19-24,22,22,4,1.00E+05,80000000,22,17,5,1.00E+06,220000000,170000000,50000000,390000000,1.880024683,1.868721085,2,-0.011303598,0.131278915
6,2,1,1-6,1-6,1,1,19,1.00E+04,38000000,428,94,9,1.00E+06,4280000000,940000000,90000000,5220000000,0.570745929,0.592916612,0.352182518,0.022170683,-0.240734094
6,2,2,1-6,1-6,4,4,15,1.00E+04,30000000,140,28,7,1.00E+06,1400000000,280000000,70000000,1680000000,0.191885526,0.16840443,-0.301029996,-0.023481096,-0.469434426
6,2,3,7-12,7-12,7,7,13,1.00E+03,2600000,132,7,6,1.00E+06,1320000000,70000000,60000000,1390000000,0.251342211,-0.552841969,-0.301029996,-0.80418418,0.251811973
6,2,4,7-12,7-12,10,10,9,1.00E+03,1800000,112,23,3,1.00E+06,1120000000,230000000,30000000,1350000000,-0.068053273,-0.310370022,-0.56427143,-0.242316749,-0.253901409
6,2,5,13-18,13-18,13,13,17,1.00E+05,340000000,121,23,14,1.00E+06,1210000000,230000000,140000000,1440000000,-0.137322718,-0.687490187,-0.535113202,-0.550167469,0.152376985
6,2,6,13-18,13-18,16,19,9,1.00E+03,1800000,432,272,176,1.00E+06,4320000000,2720000000,1760000000,7040000000,0.618450408,0.520755052,0.768391413,-0.097695356,0.247636361
6,2,7,19-24,19-24,19,19,8,1.00E+02,160000,532,5,1,1.00E+06,5320000000,50000000,10000000,5370000000,0.561558777,-0.602059991,0,-1.163618768,0.602059991
6,2,8,19-24,19-24,22,22,19,1.00E+04,38000000,90,82,8,1.00E+06,900000000,820000000,80000000,1720000000,0.611819829,0.683364931,0.204119983,0.071545102,-0.479244948
6,3,1,1-6,1-6,1,1,11,1.00E+04,22000000,176,11,0,1.00E+06,1760000000,110000000,1,1870000000,-0.385931101,-0.931735168,-7.954242509,-0.545804067,-7.022507341
6,3,2,1-6,1-6,4,4,15,1.00E+04,30000000,45,1,1,1.00E+06,450000000,10000000,10000000,460000000,-0.492915522,-1.447158031,-0.84509804,-0.954242509,0.602059991
6,3,3,7-12,7-12,7,7,13,1.00E+02,260000,36,2,2,1.00E+06,360000000,20000000,20000000,380000000,-0.56427143,-0.544068044,-0.477121255,0.020203386,0.06694679
6,3,4,7-12,7-12,10,10,13,1.00E+02,260000,262,11,1,1.00E+06,2620000000,110000000,10000000,2730000000,0.369083269,-0.320335151,-0.477121255,-0.68941842,-0.156786104
6,3,5,13-18,13-18,13,13,16,1.00E+03,3200000,118,22,4,1.00E+06,1180000000,220000000,40000000,1400000000,-0.010903363,-0.019305155,-0.544068044,-0.008401792,-0.524762889
6,3,6,13-18,13-18,16,19,10,1.00E+02,200000,86,7,6,1.00E+06,860000000,70000000,60000000,930000000,-0.700985296,-1.589470864,-1.467361417,-0.888485568,0.122109447
6,3,7,19-24,19-24,19,19,5,1.00E+00,1000,74,1,2,1.00E+06,740000000,10000000,20000000,750000000,-0.856679913,-0.698970004,0.301029996,0.157709908,1
6,3,8,19-24,19-24,22,22,25,1.00E+03,5000000,30,24,2,1.00E+06,300000000,240000000,20000000,540000000,-0.477121255,-0.533602611,-0.602059991,-0.056481356,-0.068457381
12,0,1,1-12,1-12,1,1,5,1.00E+03,1000000,7,15,5,1.00E+04,700000,1500000,500000,2200000,,,,0,0
12,0,2,1-12,1-12,4,4,3,1.00E+03,600000,3,18,7,1.00E+04,300000,1800000,700000,2100000,,,,0,0
12,0,3,1-12,1-12,7,7,5,1.00E+03,1000000,5,31,3,1.00E+04,500000,3100000,300000,3600000,,,,0,0
12,0,4,1-12,1-12,10,10,1,1.00E+03,200000,5,16,1,1.00E+04,500000,1600000,100000,2100000,,,,0,0
12,0,5,13-24,13-24,13,13,3,1.00E+03,600000,5,23,3,1.00E+04,500000,2300000,300000,2800000,,,,0,0
12,0,6,13-24,13-24,16,19,5,1.00E+03,1000000,3,17,2,1.00E+04,300000,1700000,200000,2000000,,,,0,0
12,0,7,13-24,13-24,19,19,7,1.00E+03,1400000,3,21,2,1.00E+04,300000,2100000,200000,2400000,,,,0,0
12,0,8,13-24,13-24,22,22,3,1.00E+03,600000,6,22,2,1.00E+04,600000,2200000,200000,2800000,,,,0,0
12,1,1,1-12,1-12,1,1,5,1.00E+04,10000000,73,25,5,1.00E+06,730000000,250000000,50000000,980000000,3.01822482,2.22184875,2,-0.79637607,-0.22184875
12,1,2,1-12,1-12,4,4,5,1.00E+04,10000000,41,13,1,1.00E+06,410000000,130000000,10000000,540000000,3.135662602,1.858670847,1.15490196,-1.276991755,-0.703768887
12,1,3,1-12,1-12,7,7,4,1.00E+04,8000000,78,30,4,1.00E+06,780000000,300000000,40000000,1080000000,3.193124598,1.985759561,2.124938737,-1.207365037,0.139179176
12,1,4,1-12,1-12,10,10,7,1.00E+04,14000000,80,39,6,1.00E+06,800000000,390000000,60000000,1190000000,3.204119983,2.386944624,2.77815125,-0.817175358,0.391206626
12,1,5,13-24,13-24,13,13,16,1.00E+04,32000000,57,91,13,1.00E+06,570000000,910000000,130000000,1480000000,3.056904851,2.597313556,2.636822098,-0.459591295,0.039508541
12,1,6,13-24,13-24,16,19,7,1.00E+03,1400000,166,242,41,1.00E+06,1660000000,2420000000,410000000,4080000000,3.742986833,3.153366445,3.311753861,-0.589620389,0.158387416
12,1,7,13-24,13-24,19,19,8,1.00E+03,1600000,79,58,4,1.00E+06,790000000,580000000,40000000,1370000000,3.420505837,2.441208699,2.301029996,-0.979297138,-0.140178703
12,1,8,13-24,13-24,22,22,14,1.00E+03,2800000,79,102,16,1.00E+06,790000000,1020000000,160000000,1810000000,3.119475841,2.666177491,2.903089987,-0.45329835,0.236912496
12,2,1,1-12,1-12,1,1,17,1.00E+02,160000,105,2,1,1.00E+06,1050000000,20000000,10000000,1070000000,0.157866439,-1.096910013,-0.698970004,-1.254776452,0.397940009
12,2,2,1-12,1-12,4,4,22,1.00E+02,140000,1128,74,12,1.00E+06,11280000000,740000000,120000000,12020000000,1.439525243,0.755288367,1.079181246,-0.684236876,0.323892879
12,2,3,1-12,1-12,7,7,20,1.00E+02,100000,162,12,5,1.00E+06,1620000000,120000000,50000000,1740000000,0.317420412,-0.397940009,0.096910013,-0.715360421,0.494850022
12,2,4,1-12,1-12,10,10,20,1.00E+02,400000,140,19,1,1.00E+06,1400000000,190000000,10000000,1590000000,0.243038049,-0.312311006,-0.77815125,-0.555349055,-0.465840244
12,2,5,13-24,13-24,13,13,22,1.00E+03,4400000,92,91,3,1.00E+06,920000000,910000000,30000000,1830000000,0.207912972,0,-0.636822098,-0.207912972,-0.636822098
12,2,6,13-24,13-24,16,19,7,1.00E+01,14000,55,62,9,1.00E+06,550000000,620000000,90000000,1170000000,-0.479745399,-0.591423676,-0.658541347,-0.111678278,-0.067117671
12,2,7,13-24,13-24,19,19,11,1.00E+01,22000,61,24,13,1.00E+06,610000000,240000000,130000000,850000000,-0.112297256,-0.383216752,0.511883361,-0.270919496,0.895100113
12,2,8,13-24,13-24,22,22,17,1.00E+01,34000,86,67,9,1.00E+06,860000000,670000000,90000000,1530000000,0.03687136,-0.182525369,-0.249877473,-0.219396729,-0.067352104
12,3,1,1-12,1-12,1,1,17,1.00E+01,34000,138,2,0,1.00E+06,1380000000,20000000,1,1400000000,0.118689787,0,-7,-0.118689787,-7
12,3,2,1-12,1-12,4,4,11,1.00E+01,22000,222,1,1,1.00E+06,2220000000,10000000,10000000,2230000000,-0.705956125,-1.86923172,-1.079181246,-1.163275595,0.790050474
12,3,3,1-12,1-12,7,7,10,1.00E+01,20000,57,3,1,1.00E+06,570000000,30000000,10000000,600000000,-0.453640159,-0.602059991,-0.698970004,-0.148419832,-0.096910013
12,3,4,1-12,1-12,10,10,33,1.00E+00,6600,59,2,0,1.00E+06,590000000,20000000,1,610000000,-0.375276024,-0.977723605,-7,-0.602447581,-6.022276395
12,3,5,13-24,13-24,13,13,10,1.00E+02,200000,86,66,4,1.00E+06,860000000,660000000,40000000,1520000000,-0.029289376,-0.139497457,0.124938737,-0.110208081,0.264436193
12,3,6,13-24,13-24,16,19,2,1.00E+00,20,83,43,2,1.00E+06,830000000,430000000,20000000,1260000000,0.178715403,-0.158923234,-0.653212514,-0.337638637,-0.49428928
12,3,7,13-24,13-24,19,19,3,1.00E+03,600000,102,1,3,1.00E+06,1020000000,10000000,30000000,1030000000,0.223270337,-1.380211242,-0.636822098,-1.603481578,0.743389144
12,3,8,13-24,13-24,22,22,5,1.00E+00,1000,44,28,0,1.00E+06,440000000,280000000,1,720000000,-0.291045775,-0.378916771,-7.954242509,-0.087870997,-7.575325738
24,0,1,1-24,1-24,1,1,4,1.00E+03,800000,4,23,3,1.00E+04,400000,2300000,300000,2700000,,,,0,0
24,0,2,1-24,1-24,4,4,5,1.00E+03,1000000,4,26,2,1.00E+04,400000,2600000,200000,3000000,,,,0,0
24,0,3,1-24,1-24,7,7,5,1.00E+03,1000000,3,18,2,1.00E+04,300000,1800000,200000,2100000,,,,0,0
24,0,4,1-24,1-24,10,10,5,1.00E+03,1000000,3,27,1,1.00E+04,300000,2700000,100000,3000000,,,,0,0
24,0,5,1-24,1-24,13,13,5,1.00E+03,1000000,3,16,1,1.00E+04,300000,1600000,100000,1900000,,,,0,0
24,0,6,1-24,1-24,16,19,12,1.00E+02,240000,2,21,1,1.00E+04,200000,2100000,100000,2300000,,,,0,0
24,0,7,1-24,1-24,19,19,6,1.00E+03,1200000,4,24,1,1.00E+04,400000,2400000,100000,2800000,,,,0,0
24,0,8,1-24,1-24,22,22,5,1.00E+03,1000000,3,23,2,1.00E+04,300000,2300000,200000,2600000,,,,0,0
24,1,1,1-24,1-24,1,1,8,1.00E+03,1600000,33,52,3,1.00E+06,330000000,520000000,30000000,850000000,2.916453949,2.354275508,2,-0.562178441,-0.354275508
24,1,2,1-24,1-24,4,4,7,1.00E+03,1400000,41,58,2,1.00E+06,410000000,580000000,20000000,990000000,3.010723865,2.348454646,2,-0.66226922,-0.348454646
24,1,3,1-24,1-24,7,7,5,1.00E+03,1000000,25,82,5,1.00E+06,250000000,820000000,50000000,1070000000,2.920818754,2.658541347,2.397940009,-0.262277407,-0.260601339
24,1,4,1-24,1-24,10,10,25,1.00E+02,500000,15,65,1,1.00E+06,150000000,650000000,10000000,800000000,2.698970004,2.381549592,2,-0.317420412,-0.381549592
24,1,5,1-24,1-24,13,13,19,1.00E+03,3800000,8,63,1,1.00E+06,80000000,630000000,10000000,710000000,2.425968732,2.595220567,2,0.169251835,-0.595220567
24,1,6,1-24,1-24,16,19,7,1.00E+03,1400000,25,41,1,1.00E+06,250000000,410000000,10000000,660000000,3.096910013,2.290564562,2,-0.806345451,-0.290564562
24,1,7,1-24,1-24,19,19,7,1.00E+03,1400000,15,27,1,1.00E+06,150000000,270000000,10000000,420000000,2.574031268,2.051152522,2,-0.522878745,-0.051152522
24,1,8,1-24,1-24,22,22,8,1.00E+03,1600000,38,44,3,1.00E+06,380000000,440000000,30000000,820000000,3.102662342,2.28172484,2.176091259,-0.820937501,-0.105633581
24,2,1,1-24,1-24,1,1,7,1.00E+01,14000,62,70,7,1.00E+06,620000000,700000000,70000000,1320000000,0.27387775,2.483370204,2.367976785,2.209492454,-0.115393419
24,2,2,1-24,1-24,4,4,13,1.00E+01,26000,70,60,4,1.00E+06,700000000,600000000,40000000,1300000000,3.243038049,2.363177902,2.301029996,-0.879860146,-0.062147907
24,2,3,1-24,1-24,7,7,7,1.00E+01,14000,63,75,1,1.00E+06,630000000,750000000,10000000,1380000000,3.322219295,2.619788758,1.698970004,-0.702430536,-0.920818754
24,2,4,1-24,1-24,10,10,11,1.00E+00,2200,86,54,4,1.00E+06,860000000,540000000,40000000,1400000000,3.457377197,2.301029996,2.602059991,-1.156347201,0.301029996
24,2,5,1-24,1-24,13,13,17,1.00E+01,34000,214,22,4,1.00E+06,2140000000,220000000,40000000,2360000000,3.853292519,2.138302698,2.602059991,-1.71498982,0.463757293
24,2,6,1-24,1-24,16,16,9,1.00E+01,18000,54,66,2,1.00E+06,540000000,660000000,20000000,1200000000,3.431363764,2.497324641,2.301029996,-0.934039123,-0.196294645
24,2,7,1-24,1-24,19,19,24,1.00E+00,4800,139,54,9,1.00E+06,1390000000,540000000,90000000,1930000000,3.540954809,2.352182518,2.954242509,-1.188772291,0.602059991
24,2,8,1-24,1-24,22,22,25,1.00E+00,5000,72,83,4,1.00E+06,720000000,830000000,40000000,1550000000,3.380211242,2.557350256,2.301029996,-0.822860985,-0.256320261
24,3,1,1-24,1-24,1,1,4,1.00E+00,40,31,22,2,1.00E+06,310000000,220000000,20000000,530000000,-0.301029996,-0.502675359,-0.544068044,-0.201645364,-0.041392685
24,3,2,1-24,1-24,4,4,0,1.00E+00,0,58,35,3,1.00E+06,580000000,350000000,30000000,930000000,-0.081670046,-0.234083206,-0.124938737,-0.15241316,0.109144469
24,3,3,1-24,1-24,7,7,0,1.00E+00,0,50,25,0,1.00E+06,500000000,250000000,1,750000000,-0.100370545,-0.477121255,-7,-0.37675071,-6.522878745
24,3,4,1-24,1-24,10,10,2,1.00E+00,2.00E+01,22,8,0,1.00E+06,220000000,80000000,1,300000000,-0.59207577,-0.829303773,-7.602059991,-0.237228002,-6.772756218
24,3,5,1-24,1-24,13,13,4,1.00E+00,800,86,2,1,1.00E+06,860000000,20000000,10000000,880000000,-0.395915322,-1.041392685,-0.602059991,-0.645477363,0.439332694
24,3,6,1-24,1-24,16,16,1,1.00E+00,200,27,15,0,1.00E+06,270000000,150000000,1,420000000,-0.301029996,-0.643452676,-7.301029996,-0.342422681,-6.657577319
24,3,7,1-24,1-24,19,19,0,1.00E+00,0,60,4,6,1.00E+06,600000000,40000000,60000000,640000000,-0.36486355,-1.130333768,-0.176091259,-0.765470219,0.954242509
24,3,8,1-24,1-24,22,22,0,1.00E+00,0,388,360,6,1.00E+06,3880000000,3600000000,60000000,7480000000,0.731499229,0.637224408,0.176091259,-0.094274821,-0.461133149